Organization,OrgURL,VolunteerListing,Region,County,City,About,Stewardship,Education,Citizen Science,Wildlife,Plants,Birds,Land Use,latitude,longitude
Aldo Leopold Nature Center,https://www.aldoleopold.org/,,South,SAUK,Fairfield,"The Aldo Leopold Foundation invites volunteers to help care for the historic Leopold Shack and surrounding lands, preserving natural habitats and honoring Aldo Leopold’s legacy. Volunteers can participate in land stewardship, educational programs, and community outreach to promote the land ethic—a philosophy of respectful, ethical connection with nature. By joining, you’ll help inspire conservation leadership and contribute to protecting ecosystems for future generations.",True,True,False,True,True,True,True,43.5353025,-89.6790946
Buckhorn State Park,https://dnr.wisconsin.gov/topic/parks/buckhorn,https://dnr.wisconsin.gov/topic/parks/volunteer,South,JUNEAU,Necedah,"We are looking for volunteers to provide additional programming at Buckhorn State Park this summer to supplement friends group programs. Hikes, drop-in programs, kayaking, formal programs at the amphitheater, and foraging for fall mushrooms.",False,True,False,False,False,False,True,44.0254284,-90.07213
Carpenter St. Croix Valley Nature Center,https://carpenternaturecenter.org,https://carpenternaturecenter.org/get-involved/volunteer/,Southeast,ST CROIX,Hudson,"Calling all bat nerds! We are seeking help from knowledgeable volunteers who love bats to help with our 2023 Bioblitz. Weather it is a full bat program or bat hike, we are excited to education our community on the wonders of the night.",False,False,True,False,False,False,True,44.9750953,-92.7554671
Cedar Lakes Conservation Foundation,https://theclcf.org,https://theclcf.org/volunteer/,Southeast,WASHINGTON,West Bend,"Volunteers will assist in digging holes, planting trees and securing tree tubes around the new seedlings.",True,False,False,False,False,False,True,43.4252776,-88.1834277
City of Madison Parks,https://www.cityofmadison.com,https://www.cityofmadison.com/parks/volunteer,South,DANE,Madison,A pumpkin based activity that connects kids 6-13 to the nature and elements around them. Also focusing on using every element of the pumpkin in fun and creative ways and how to connect this to other foods/activities in life.,False,True,False,False,False,False,False,43.074761,-89.3837613
City of Neenah - Park and Recreation Dept,https://www.ci.neenah.wi.us/departments/parks-recreation/parks-trails/,,Northeast,WINNEBAGO,Neenah,"As the development of Arrowhead Park begins with near shore and shoreline habitat restorations and also a future prairie restoration we want to monitor the impacts of these habitat restorations. Impacts monitored will include fish, aquatic bugs, birds, turtles, bees, butterflies and plants. Arrowhead is located on the south shores of Little Lake Butte des Morts, Neenah and is a migratory route for birds.",True,False,True,False,False,False,False,44.1858193,-88.462609
Copper Falls State Park,https://dnr.wisconsin.gov/topic/parks/copperfalls,https://dnr.wisconsin.gov/topic/parks/volunteer,North,ASHLAND,Mellen,Looking for folks interested in leading hikes or manning the nature cabin (training will be provided) by the park naturalist. Bat ambassadors also invited to participate in night hikes.,False,True,False,False,False,False,False,46.3257496,-90.6606627
Dane County Land and Water Resources Dept.,https://www.danecountyparks.com,https://www.danecountyparks.com/volunteer,South,DANE,,"The Dane County LWRD is seeking help from Master Naturalists to get trained on presenting rainfall simulators (either tabletop or trailered version) to supplement the staff capacity of our office. The simulator is very interactive and shows how different land use types (turf grass, prairie, agriculture, etc.) perform during a rainfall event in terms of infiltration and potential erosion. This could be a great opportunity for someone who wants to periodically do tabling events and educate the public on the importance of deep rooted plants and limiting erosion.",False,True,True,False,False,False,True,,
Driftless Area Land Conservancy,https://www.driftlessconservancy.org,https://www.driftlessconservancy.org/volunteer,South,IOWA,Dodgeville,"Driftless Area Land Conservancy is developing a 50-mile hiking trail, called the Driftless Trail, in northeastern Iowa County. This will serve as a resource for recreation, education, and land conservation for seven rural communities and the Madison area. Volunteers are needed to construct new trail tread and maintain existing trail segments.",True,False,False,False,False,False,False,,
Durwards Glen,https://durwardsglen.org/,,South,COLUMBIA,Portage,"Lead a short sunset hike highlighting nocturnal animals, sounds, and natural life on the grounds of Durwards Glen in the beautiful Baraboo Bluffs. The group will be adult day camp participants and events are centered around wellness and appreciation of nature.",False,True,False,False,False,False,False,43.539494,-89.461334
Eagle Nature Trail,https://www.alicebaker.lib.wi.us/?page_id=2312,,South,RICHLAND,Eagle,"Working on a small nature trail in the village of Eagle: helping with management of prairie, woods and pond areas, including removal of invasives, planting projects, children's activities.",False,True,False,True,False,False,False,43.2463592,-90.4883914
Folklore Village Prairie,,,Northeast,WAUPACA,Iowa,"A peaceful 26-acre tract of prairie west of Madison at Folklore Village Farm (www.folklorevillagefarm.org) was in danger of losing its CRP certification and needs your help. Volunteers have worked hard the past 9 months to catch up with years of neglect, so it's looking much better, but needs a big July push against summer invasives.",False,False,False,False,False,False,False,,
Forward Three Lakes,,,Northeast,OUTAGAMIE,Oneida,Looking for some help with our bird city designation.,False,False,False,False,False,False,False,44.4991592,-88.1953178
Fox-Wolf Watershed Alliance,https://fwwa.org/get-involved,https://fwwa.org/get-involved/volunteer/,Southeast,MILWAUKEE,Milwaukee,"At Fox-Wolf, we believe healthy waters build vibrant communities. Working hand-in-hand with local partners, businesses, and residents, we’re dedicated to protecting and revitalizing the Fox-Wolf Watershed—ensuring clean, thriving waterways for everyone who call this amazing place home. https://fwwa.org/get-involved/volunteer/",True,False,False,False,False,False,True,,
Friends of Doyne Park in Milwaukee,,,Southeast,MILWAUKEE,Milwaukee,Calling all Volunteers! Weed Out Gathering at Doyne Park from 10am-1pm September 29th!!!! Time to address those nasty Buckthorns and pull them out with PullerBears!,False,False,False,False,False,False,False,43.0775181,-87.8812647
Friends of Korth Park,,,South,VERNON,Jefferson,"Full moon hike guide! Looking for a naturalist who can lead a group of young adults on a moonlight hike and share cool facts about critters at night! We will walk through an oak savanna and a restored prairie. If you don't mind being the groups ""Ooo, what was that sound?"" expert and think hiking in the dark is an adventure please join us!",False,False,False,False,False,False,False,43.5719857,-90.9691801
Friends of Pheasant Branch Conservancy,,,South,DANE,Madison,Prairie Seed Collection. Sign up here: https://secure.lglforms.com/form_engine/s/GEwmqTOp80eAdnqpixAqlg,False,True,False,False,False,False,False,43.2505472,-89.5015088
Friends of the Monarch Trail,,,Southeast,MILWAUKEE,Milwaukee,"Friends of the Monarch Trail seeks volunteers to help maintain extensive pollinator friendly grounds and trails in Wauwatosa; to provide assistance at special events such as our annual plant sale; assist with monarch count in the Fall; and provide information and education at our annual celebration. If you have a passion for helping us continue to provide an established stopping point for these beautiful butterflies during their migration, we would love to have you join us in this important endeavor. If you are interested, please contact Linda Sheridan at lsheridan726@gmail.com",True,True,False,False,False,False,False,43.0775181,-87.8812647
Girl Scouts of Wisconsin Southeast,,,Southeast,WAUKESHA,,"Girl Scouts of Wisconsin is hosting their Girl Scout Day Camp, which is completely volunteer run and is seeking naturalists to run one or more programs of their choosing for girls ages 5-12 who are divided into groups of 8-14 girls by age. Our camp does have a small budget for supplies but the volunteer would need to register with Girl Scouts as a volunteer ($25) which covers their insurance and background check (must be through Girl Scouts even if you have a current background check). Meals are included for volunteers and volunteers are encouraged to participate in other programming when not running their own program (try your hand at archery, crafts, camp skills etc). Please contact Jessica Martin for more information, muschj99@yahoo.com",False,True,False,False,False,False,False,43.0116784,-88.2314813
Hausmann Nature Center @ Lapham Peak,https://laphampeakfriends.org,https://laphampeakfriends.org/volunteer/,Southeast,WAUKESHA,,"We are looking for master naturalists who are interested in presenting educational programs this spring/summer/fall for children, adults and families at the nature center.",False,True,False,False,False,False,False,43.0116784,-88.2314813
La Crosse County Library (Youth Services),,,Southeast,LA CROSSE,,Serve as a community partner to help create and sustain youth nature and place-based programs at La Crosse County Library,False,False,False,False,False,False,False,43.8122836,-91.2514355
Lac Lawrann Conservancy,https://laclawrann.org,https://laclawrann.org/donate-volunteer/volunteer/,Southeast,LA CROSSE,Washington,"Lac Lawrann Conservancy is looking for help with land stewardship and educational programs (field trips, summer camp, snow shoe events, girl and boy scout events).",False,False,False,False,False,False,False,43.761229,-90.9708427
Lake Michigan Bird Observatory,,,Northeast,MARQUETTE,Ozaukee,"We are recruiting volunteers and community scientists to help us with the Neighborhood Habitat Improvement Project, which aims to improve residential areas for birds, pollinators, and water quality. 

Birdscape Botanist volunteers will learn native and nonnative plant species, and how to use standard forestry tools while surveying a 5-meter site surrounding one of our breeding bird boxes to determine if clutch size and survival rates are better in areas with more dense native woody vegetation.

Nesting Navigator volunteers help The Observatory monitor breeding bird activity at over 100 constructed bird boxes throughout Port Washington, WI once to twice a week.

Climate Catalysts volunteers will help in our newest initiative which aims to produce biochar from woody invasive species slash generated from various partners' habitat restoration projects. When paired with tree planting Biochar can sequester carbon, retain and slow release water to trees, and filtrate and absorb pollutants, including nutrients. Through these properties, it is a powerful tool to promote resiliency of trees to future climate extremes, to filter pollutants (especially nutrients), to reduce air pollution from woody debris burning, and to address climate change. Work would include gathering and preparing woody debris for kilns, assisting kiln tenders with loading, and testing methods to ""charge"" biochar with nutrients by soaking the char in overly nutrient-rich local waterways prior to using in planting.",False,False,False,False,False,False,False,,
